CMDLINE /home/d514/Documents/KPL26/KPL_Danu_Warisman_103122400041_S1SE-08-02/.venv/bin/python memori_profile.py
MEM 29.742188 1777970343.4443
MEM 29.765625 1777970343.5448
MEM 29.785156 1777970343.6453
MEM 29.808594 1777970343.7459
MEM 29.832031 1777970343.8464
MEM 29.851562 1777970343.9469
MEM 29.878906 1777970344.0474
MEM 29.898438 1777970344.1479
MEM 29.921875 1777970344.2484
MEM 29.945312 1777970344.3489
MEM 29.964844 1777970344.4494
MEM 29.988281 1777970344.5498
MEM 30.011719 1777970344.6505
MEM 30.035156 1777970344.7509
MEM 30.058594 1777970344.8514
MEM 30.078125 1777970344.9518
MEM 30.101562 1777970345.0525
MEM 30.121094 1777970345.1530
MEM 30.144531 1777970345.2535
MEM 30.164062 1777970345.3539
MEM 30.183594 1777970345.4544
MEM 30.210938 1777970345.5548
MEM 30.230469 1777970345.6552
MEM 30.253906 1777970345.7556
MEM 30.273438 1777970345.8560
MEM 30.296875 1777970345.9564
MEM 30.316406 1777970346.0569
MEM 30.335938 1777970346.1573
MEM 30.355469 1777970346.2577
MEM 30.378906 1777970346.3582
MEM 30.406250 1777970346.4586
MEM 30.429688 1777970346.5591
MEM 30.449219 1777970346.6595
MEM 30.468750 1777970346.7599
MEM 30.492188 1777970346.8604
MEM 30.515625 1777970346.9608
MEM 30.539062 1777970347.0612
MEM 30.562500 1777970347.1616
MEM 30.585938 1777970347.2620
MEM 30.609375 1777970347.3624
MEM 30.632812 1777970347.4629
MEM 30.656250 1777970347.5639
MEM 30.675781 1777970347.6644
MEM 30.703125 1777970347.7648
